KB_Size,Iterations,Is_Blocking,Total_Time,Bandwidth_MBs
1,1000,1,0.119027,8.204560
2,1000,1,0.332300,5.877597
4,1000,1,0.181646,21.504685
8,1000,1,0.321214,24.321823
16,1000,1,0.363957,42.930895
32,1000,1,0.509917,61.284488
64,1000,1,1.004641,62.211253
128,1000,1,1.570644,79.585167
256,1000,1,2.539386,98.448999
512,1000,1,4.830730,103.504023
1024,1000,1,9.247143,108.141508
1,1000,0,0.100833,9.684989
2,1000,0,0.335175,5.827180
4,1000,0,0.181291,21.546847
8,1000,0,0.220000,35.511356
16,1000,0,0.362633,43.087635
32,1000,0,0.468898,66.645571
64,1000,0,1.004554,62.216677
128,1000,0,1.570478,79.593608
256,1000,0,2.541238,98.377251
512,1000,0,4.828006,103.562415
1024,1000,0,9.245931,108.155690
2048,1000,0,18.083803,110.596204
