KB_Size,Iterations,Is_Blocking,Total_Time,Bandwidth_MBs
1,500,1,0.001475,331.073375
2,500,1,0.001172,833.580162
4,500,1,0.001830,1067.546266
8,500,1,0.002014,1939.263147
16,500,1,0.002416,3233.040453
32,500,1,0.003371,4634.804131
64,500,1,0.004929,6339.794311
128,500,1,0.008427,7416.585074
256,500,1,0.017190,7271.616699
512,500,1,0.032079,7793.227349
1024,500,1,0.061575,8120.227306
1,500,0,0.000942,518.586402
2,500,0,0.001002,974.541301
4,500,0,0.001682,1161.202389
8,500,0,0.001894,2062.355602
16,500,0,0.002332,3350.424609
32,500,0,0.003221,4851.481029
64,500,0,0.004754,6574.017547
128,500,0,0.008325,7507.861933
256,500,0,0.016935,7381.353308
512,500,0,0.032268,7747.506171
1024,500,0,0.061531,8125.939582
