128,3.92826e-05,9.5256e+06,2.42489e+09,2,1
256,0.000197372,3.87096e+07,1.96126e+09,2,1
512,0.000536484,1.5606e+08,2.90894e+09,2,1
1024,0.00227608,6.2669e+08,2.75338e+09,2,1
2048,0.00888173,2.51167e+09,2.8279e+09,2,1
4096,0.0327118,1.00565e+10,3.07428e+09,2,1
8192,0.129582,4.02457e+10,3.10581e+09,2,1
128,0.000108615,9.5256e+06,8.77004e+08,2,2
256,0.000324599,3.87096e+07,1.19254e+09,2,2
512,0.000796096,1.5606e+08,1.96032e+09,2,2
1024,0.00226834,6.2669e+08,2.76277e+09,2,2
2048,0.00893681,2.51167e+09,2.81048e+09,2,2
4096,0.0319762,1.00565e+10,3.145e+09,2,2
8192,0.125685,4.02457e+10,3.20211e+09,2,2
128,3.17107e-05,9.5256e+06,3.00391e+09,4,1
256,0.000117466,3.87096e+07,3.29538e+09,4,1
512,0.000273286,1.5606e+08,5.71049e+09,4,1
1024,0.00112825,6.2669e+08,5.55453e+09,4,1
2048,0.0045445,2.51167e+09,5.52683e+09,4,1
4096,0.01704,1.00565e+10,5.9017e+09,4,1
8192,0.0682675,4.02457e+10,5.89529e+09,4,1
128,0.000100212,9.5256e+06,9.50549e+08,4,2
256,0.000174794,3.87096e+07,2.21459e+09,4,2
512,0.000436339,1.5606e+08,3.57658e+09,4,2
1024,0.00122878,6.2669e+08,5.10011e+09,4,2
2048,0.00460984,2.51167e+09,5.4485e+09,4,2
4096,0.0171696,1.00565e+10,5.85714e+09,4,2
8192,0.0665102,4.02457e+10,6.05105e+09,4,2
128,0.000164804,9.5256e+06,5.77994e+08,4,4
256,0.000250937,3.87096e+07,1.5426e+09,4,4
512,0.000534596,1.5606e+08,2.91922e+09,4,4
1024,0.00131834,6.2669e+08,4.75365e+09,4,4
2048,0.00459373,2.51167e+09,5.4676e+09,4,4
4096,0.0173797,1.00565e+10,5.78634e+09,4,4
8192,0.0647755,4.02457e+10,6.2131e+09,4,4
128,9.96993e-05,9.5256e+06,9.55433e+08,8,1
256,0.000120985,3.87096e+07,3.19954e+09,8,1
512,0.000242884,1.5606e+08,6.42529e+09,8,1
1024,0.000828722,6.2669e+08,7.56213e+09,8,1
2048,0.00249163,2.51167e+09,1.00804e+10,8,1
4096,0.00931921,1.00565e+10,1.07912e+10,8,1
8192,0.0375113,4.02457e+10,1.07289e+10,8,1
128,9.98868e-05,9.5256e+06,9.5364e+08,8,2
256,0.00013535,3.87096e+07,2.85997e+09,8,2
512,0.000214675,1.5606e+08,7.26959e+09,8,2
1024,0.000726466,6.2669e+08,8.62656e+09,8,2
2048,0.00243679,2.51167e+09,1.03073e+10,8,2
4096,0.00915867,1.00565e+10,1.09803e+10,8,2
8192,0.0352535,4.02457e+10,1.14161e+10,8,2
128,0.000147817,9.5256e+06,6.44418e+08,8,4
256,0.000142427,3.87096e+07,2.71786e+09,8,4
512,0.000251311,1.5606e+08,6.20984e+09,8,4
1024,0.000661494,6.2669e+08,9.47386e+09,8,4
2048,0.00235525,2.51167e+09,1.06641e+10,8,4
4096,0.00928529,1.00565e+10,1.08306e+10,8,4
8192,0.0341908,4.02457e+10,1.17709e+10,8,4
128,9.24987e-05,9.5256e+06,1.02981e+09,12,1
256,0.000118968,3.87096e+07,3.25379e+09,12,1
512,0.000215228,1.5606e+08,7.25092e+09,12,1
1024,0.00049801,6.2669e+08,1.25839e+10,12,1
2048,0.00203122,2.51167e+09,1.23653e+10,12,1
4096,0.0065831,1.00565e+10,1.52762e+10,12,1
8192,0.0261999,4.02457e+10,1.5361e+10,12,1
128,9.27258e-05,9.5256e+06,1.02729e+09,12,2
256,0.000116284,3.87096e+07,3.32887e+09,12,2
512,0.000201641,1.5606e+08,7.73948e+09,12,2
1024,0.000597552,6.2669e+08,1.04876e+10,12,2
2048,0.00181913,2.51167e+09,1.3807e+10,12,2
4096,0.00672427,1.00565e+10,1.49555e+10,12,2
8192,0.0269031,4.02457e+10,1.49595e+10,12,2
128,9.33885e-05,9.5256e+06,1.02e+09,12,4
256,0.000120345,3.87096e+07,3.21654e+09,12,4
512,0.000207639,1.5606e+08,7.51593e+09,12,4
1024,0.000441049,6.2669e+08,1.42091e+10,12,4
2048,0.00160683,2.51167e+09,1.56312e+10,12,4
4096,0.00646135,1.00565e+10,1.55641e+10,12,4
8192,0.0239078,4.02457e+10,1.68337e+10,12,4
128,0.000101682,9.5256e+06,9.36807e+08,16,1
256,0.00014616,3.87096e+07,2.64845e+09,16,1
512,0.000259764,1.5606e+08,6.00777e+09,16,1
1024,0.000519214,6.2669e+08,1.207e+10,16,1
2048,0.00145746,2.51167e+09,1.72332e+10,16,1
4096,0.00501679,1.00565e+10,2.00457e+10,16,1
8192,0.0202082,4.02457e+10,1.99155e+10,16,1
128,0.000100374,9.5256e+06,9.49006e+08,16,2
